,Survived,SibSp,Parch,Cabin_No,Cabin_Yes,Embarked_C,Embarked_Q,Embarked_S,Sex_female,Sex_male,Pclass_1,Pclass_2,Pclass_3,Age_Scaled,Fare_Scaled
0,0,1,0,1,0,0,0,1,0,1,0,0,1,-0.5613800809101931,-0.5024451714361923
1,1,1,0,0,1,1,0,0,1,0,1,0,0,0.6131707530307827,0.7868452935884461
2,1,0,0,1,0,0,0,1,1,0,0,0,1,-0.26774237242494914,-0.4888542575852486
3,1,1,0,0,1,0,0,1,1,0,1,0,0,0.39294247166684976,0.4207302360686478
4,0,0,0,1,0,0,0,1,0,1,0,0,1,0.39294247166684976,-0.4863374216869257
5,0,0,0,1,0,0,1,0,0,1,0,0,1,-0.4263836250625497,-0.47811642890864375
6,0,0,0,0,1,0,0,1,0,1,1,0,0,1.7877215869717586,0.395813560675251
7,0,3,1,1,0,0,0,1,0,1,0,0,1,-2.029568623336413,-0.22408312108167944
8,1,0,2,1,0,0,0,1,1,0,0,0,1,-0.19433294530363815,-0.4242561406845337
9,1,1,0,1,0,1,0,0,1,0,0,1,0,-1.1486554978806809,-0.04295550208861426
10,1,1,1,0,1,0,0,1,1,0,0,0,1,-1.8827497690937909,-0.312172377522981
11,1,0,0,0,1,0,0,1,1,0,1,0,0,2.0813592954570024,-0.11384570873513637
12,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.7081989351528151,-0.4863374216869257
13,0,1,5,1,0,0,0,1,0,1,0,0,1,0.6865801801520938,-0.01870931177853076
14,0,0,0,1,0,0,0,1,1,0,0,0,1,-1.1486554978806809,-0.4902797934380587
15,1,0,0,1,0,0,0,1,1,0,0,1,0,1.8611310140930695,-0.3262666585535892
16,0,4,1,1,0,0,1,0,0,1,0,0,1,-2.029568623336413,-0.06199888922968463
17,1,0,0,1,0,0,0,1,0,1,0,1,0,0.17759540701548612,-0.3866707201133388
18,0,1,0,1,0,0,0,1,1,0,0,0,1,0.09930476318160582,-0.2859972841804228
19,1,0,0,1,0,1,0,0,1,0,0,0,1,-0.009472948449595153,-0.5029485386158568
20,0,0,0,1,0,0,0,1,0,1,0,1,0,0.39294247166684976,-0.12491978668775715
21,1,0,0,0,1,0,0,1,0,1,0,1,0,0.31953304454553877,-0.3866707201133388
22,1,0,0,1,0,0,1,0,1,0,0,0,1,-1.07524607075937,-0.4867562231804066
23,1,0,0,0,1,0,0,1,0,1,1,0,0,-0.12092351818232715,0.06635974158478332
24,0,3,1,1,0,0,0,1,1,0,0,0,1,-1.589112060608547,-0.22408312108167944
25,1,1,5,1,0,0,0,1,1,0,0,0,1,0.6131707530307827,-0.016444159470040135
26,0,0,0,1,0,1,0,0,0,1,0,0,1,-0.009472948449595153,-0.5029485386158568
27,0,3,2,0,1,0,0,1,0,1,1,0,0,-0.781608362274126,4.647001076532463
28,1,0,0,1,0,0,1,0,1,0,0,0,1,-0.5334761858066933,-0.48977642625839407
